hexid	date	distToFront	geometry
4689	2021-07-04	0	c(364847.155067975, 380653.964833215, 4158897.62412568, 4147067.5074433)
4689	2021-07-04	0	c(380653.964833215, 380322.751309922, 4147067.5074433, 4123897.45770394)
4843	2021-07-04	0	c(428144.910974684, 428341.495651097, 4088597.31912847, 4111765.06618518)
4843	2021-07-04	0	c(444173.798180891, 428144.910974684, 4076892.8292639, 4088597.31912847)
4843	2021-07-04	0	c(428341.495651097, 444478.835763819, 4111765.06618518, 4123227.81752758)
4874	2021-07-04	0	c(444478.835763819, 444632.465336281, 4123227.81752758, 4146396.52491806)
4903	2021-07-04	0	c(460032.293677571, 460139.162509478, 4018888.7331475, 4042053.60827331)
4874	2021-07-04	0	c(444632.465336281, 460681.444149891, 4146396.52491806, 4157890.14023166)
4903	2021-07-04	0	c(476236.170979929, 460032.293677571, 4007247.12661271, 4018888.7331475)
4843	2021-07-04	0	c(460354.491835912, 444173.798180891, 4088385.78445401, 4076892.8292639)
4903	2021-07-04	0	c(460139.162509478, 476363.08281027, 4042053.60827331, 4053576.60755746)
4904	2021-07-04	0	c(476427.01148806, 460354.491835912, 4076742.56528786, 4088385.78445401)
4934	2021-07-04	0	c(476363.08281027, 476427.01148806, 4053576.60755746, 4076742.56528786)
4874	2021-07-04	0	c(460681.444149891, 476620.678690283, 4157890.14023166, 4146245.32907034)
4935	2021-07-04	0	c(476620.678690283, 492624.955162003, 4146245.32907034, 4157800.27582349)
4967	2021-07-04	0	c(492624.955162003, 492645.593920611, 4157800.27582349, 4180969.85308222)
4903	2021-07-04	0	c(492503.196034215, 476236.170979929, 4018800.0038582, 4007247.12661271)
4965	2021-07-04	0	c(508750.22810501, 492503.196034215, 4007219.13033675, 4018800.0038582)
4995	2021-07-04	0	c(508773.418736997, 508750.22810501, 3984055.66911013, 4007219.13033675)
4967	2021-07-04	0	c(492645.593920611, 508560.532486636, 4180969.85308222, 4192556.12915863)
4998	2021-07-04	0	c(508560.532486636, 508536.303791392, 4192556.12915863, 4215726.94382599)
4995	2021-07-04	0	c(525106.562314995, 508773.418736997, 3972505.60443227, 3984055.66911013)
4998	2021-07-04	0	c(508536.303791392, 524361.148445186, 4215726.94382599, 4227344.7530926)
4934	2021-07-04	0	c(508679.958087329, 508703.497479745, 4076714.38074594, 4053548.48427967)
4965	2021-07-04	0	c(508703.497479745, 524907.231914021, 4053548.48427967, 4041997.42328974)
4966	2021-07-04	0	c(524772.68450415, 508679.958087329, 4088329.35442395, 4076714.38074594)
5027	2021-07-04	0	c(524907.231914021, 541044.0130586, 4041997.42328974, 4053642.1718666)
5085	2021-07-04	0	c(558792.904394345, 558646.25529325, 3810536.68386685, 3833694.64402972)
5086	2021-07-04	0	c(558350.617140028, 558201.631882721, 3880012.92046332, 3903173.24106689)
4995	2021-07-04	0	c(541373.757064939, 525106.562314995, 3984148.71466423, 3972505.60443227)
5057	2021-07-04	0	c(557750.03437764, 541373.757064939, 3972658.95754894, 3984148.71466423)
4966	2021-07-04	0	c(524704.915245995, 524772.68450415, 4111496.54104484, 4088329.35442395)
4997	2021-07-04	0	c(540709.347883998, 524704.915245995, 4123142.90659977, 4111496.54104484)
4998	2021-07-04	0	c(524361.148445186, 540255.539585861, 4227344.7530926, 4215821.95499754)
5060	2021-07-04	0	c(540255.539585861, 556035.36262352, 4215821.95499754, 4227501.67365874)
5085	2021-07-04	0	c(575503.359424427, 558792.904394345, 3799077.6072955, 3810536.68386685)
5085	2021-07-04	0	c(558646.25529325, 575127.152449276, 3833694.64402972, 3845394.19934138)
5086	2021-07-04	0	c(574937.547731306, 558350.617140028, 3868553.66330621, 3880012.92046332)
5086	2021-07-04	0	c(558201.631882721, 574555.348006892, 3903173.24106689, 3914874.93786421)
5027	2021-07-04	0	c(541044.0130586, 557291.514999517, 4053642.1718666, 4042151.84803064)
5088	2021-07-04	0	c(557291.514999517, 573385.004472449, 4042151.84803064, 4053857.68110801)
4997	2021-07-04	0	c(540596.705915434, 540709.347883998, 4146311.44370497, 4123142.90659977)
5029	2021-07-04	0	c(556512.078609195, 540596.705915434, 4157989.41176545, 4146311.44370497)
5090	2021-07-04	0	c(572585.189682114, 556512.078609195, 4146528.76157701, 4157989.41176545)
5057	2021-07-04	0	c(573974.609620269, 557750.03437764, 3984362.74726862, 3972658.95754894)
5118	2021-07-04	0	c(590394.232170888, 573974.609620269, 3972933.16382773, 3984362.74726862)
5060	2021-07-04	0	c(556035.36262352, 571975.162766247, 4227501.67365874, 4216040.5083251)
