hexid,population,infections,geometry,date,infectionsPC
21,12421.57627384842,8.040002241500543,"list(c(-2302654.56377516, -2320474.29014945, -2320474.29014944, -2302654.56377516, -2284834.83740088, -2284834.83740088, -2302654.56377516, 2070012.726901, 2080300.95072007, 2100877.39835823, 2111165.62217731, 2100877.39835823, 2080300.95072007, 2070012.726901))",2020-09-17,6.472610290553415e-4
22,15359.57686339498,3.3138851754852157,"list(c(-2302654.56377516, -2320474.29014944, -2320474.29014944, -2302654.56377516, -2284834.83740088, -2284834.83740088, -2302654.56377516, 2131742.06981546, 2142030.29363454, 2162606.7412727, 2172894.96509177, 2162606.7412727, 2142030.29363454, 2131742.06981546))",2020-09-17,2.1575367635178047e-4
23,1264.224644335049,0.07374614174592506,"list(c(-2302654.56377516, -2320474.29014944, -2320474.29014944, -2302654.56377516, -2284834.83740088, -2284834.83740088, -2302654.56377516, 2193471.41272993, 2203759.636549, 2224336.08418716, 2234624.30800623, 2224336.08418716, 2203759.636549, 2193471.41272993))",2020-09-17,5.833309932406333e-5
24,1865.021593833664,0.07252832658308135,"list(c(-2302654.56377516, -2320474.29014944, -2320474.29014944, -2302654.56377516, -2284834.83740088, -2284834.83740088, -2302654.56377516, 2255200.75564439, 2265488.97946347, 2286065.42710162, 2296353.6509207, 2286065.42710162, 2265488.97946347, 2255200.75564439))",2020-09-17,3.888873288270888e-5
25,42854.47153784039,3.759296619832397,"list(c(-2302654.56377516, -2320474.29014944, -2320474.29014944, -2302654.56377516, -2284834.83740088, -2284834.83740088, -2302654.56377516, 2316930.09855886, 2327218.32237793, 2347794.77001609, 2358082.99383517, 2347794.77001609, 2327218.32237793, 2316930.09855886))",2020-09-17,8.772238893467505e-5
26,1303.965540171966,0.23165328058323423,"list(c(-2302654.56377516, -2320474.29014944, -2320474.29014944, -2302654.56377516, -2284834.83740088, -2284834.83740088, -2302654.56377516, 2378659.44147332, 2388947.6652924, 2409524.11293055, 2419812.33674962, 2409524.11293055, 2388947.6652924, 2378659.44147332))",2020-09-17,1.77652916006265e-4
27,13528.59140886172,1.4583897279020444,"list(c(-2302654.56377516, -2320474.29014944, -2320474.29014944, -2302654.56377516, -2284834.83740088, -2284834.83740088, -2302654.56377516, 2440388.78438778, 2450677.00820686, 2471253.45584502, 2481541.67966409, 2471253.45584502, 2450677.00820686, 2440388.78438778))",2020-09-17,1.0780055985331524e-4
28,171.2580747894958,0.00923085817085428,"list(c(-2302654.56377516, -2320474.29014944, -2320474.29014944, -2302654.56377516, -2284834.83740088, -2284834.83740088, -2302654.56377516, 2502118.12730225, 2512406.35112132, 2532982.79875948, 2543271.02257856, 2532982.79875948, 2512406.35112133, 2502118.12730225))",2020-09-17,5.3900279926657614e-5
29,45098.96099186518,10.412802513586122,"list(c(-2284834.83740088, -2302654.56377516, -2302654.56377516, -2284834.83740088, -2267015.1110266, -2267015.11102659, -2284834.83740088, 1792230.68378591, 1802518.90760499, 1823095.35524314, 1833383.57906222, 1823095.35524314, 1802518.90760498, 1792230.68378591))",2020-09-17,2.3088785826938128e-4
30,27594.979792261132,4.2597177919582405,"list(c(-2284834.83740088, -2302654.56377516, -2302654.56377516, -2284834.83740088, -2267015.1110266, -2267015.1110266, -2284834.83740088, 1853960.02670037, 1864248.25051945, 1884824.6981576, 1895112.92197668, 1884824.6981576, 1864248.25051945, 1853960.02670037))",2020-09-17,1.543656789758859e-4
