GEOID,population
15000US010439650006,1261
15000US010439651001,2059
15000US010439651002,1682
15000US010439652001,1157
15000US010439652002,1539
15000US010439653001,1572
15000US010439653002,1422
15000US010439653003,1670
15000US010439654011,1286
15000US010439654012,1965
15000US010439654021,1077
15000US010439654022,1310
15000US010439654023,1120
15000US010439654024,730
15000US010439655001,2347
15000US010439655002,1154
15000US010439655003,1541
15000US010439656001,1037
15000US010439656002,1135
15000US010439657001,874
15000US010439657002,1999
15000US010450200001,216
15000US010450200002,2352
15000US010450200003,2566
15000US010450201001,967
15000US010450201002,1752
15000US010450201003,823
15000US010450202001,539
15000US010450202002,1509
15000US010450203001,1310
15000US010450203002,982
15000US010450204001,1533
15000US010450204002,855
15000US010450205001,524
15000US010450205002,620
15000US010450205003,715
15000US010450207001,798
15000US010450207002,835
15000US010450207003,660
15000US010450207004,847
15000US010450208011,1663
15000US010450208012,1647
15000US010450208021,616
15000US010450208022,504
15000US010450208023,1258
15000US010450208024,984
15000US010450208025,995
15000US010450211011,1969
15000US010450211012,2179
15000US010450211013,1028
15000US010450211021,812
15000US010450211022,864
15000US010450211023,798
15000US010450211024,1592
15000US010450212001,1453
15000US010450212002,1001
15000US010450213001,1306
15000US010450213002,600
15000US010450213003,647
15000US010450213004,1553
15000US010450214001,1586
15000US010450214002,1710
15000US010450214003,807
15000US010450214004,1280
15000US010479561001,317
15000US010479561002,1621
15000US010479561003,1643
15000US010479561004,2290
15000US010479561005,505
15000US010479562011,2126
15000US010479562012,476
15000US010479562021,1244
15000US010479562022,797
15000US010479563001,2312
15000US010479563002,1437
15000US010479564001,947
15000US010479564002,1247
15000US010479564003,906
15000US010479565001,792
15000US010479565002,652
15000US010479565003,1162
15000US010479565004,645
15000US010479566001,686
15000US010479566002,930
15000US010479566003,380
15000US010479566004,719
15000US010479567011,1826
15000US010479567021,1605
15000US010479568001,362
15000US010479568002,1338
15000US010479568003,830
15000US010479569001,927
15000US010479569002,717
15000US010479569003,653
15000US010479570001,1263
15000US010479571001,683
15000US010479571002,760
15000US010479572001,432
15000US010479572002,833
15000US010479573001,1420
15000US010479573002,668
15000US010479573003,1155
15000US010479573004,723
15000US010499601001,2039
15000US010499601002,1011
15000US010499601003,635
15000US010499601004,1377
15000US010499601005,755
15000US010499602001,871
15000US010499602002,1134
15000US010499602003,1091
15000US010499603001,1179
15000US010499603002,1557
15000US010499603003,1271
15000US010499603004,1532
15000US010499603005,1927
15000US010499604001,1075
15000US010499604002,2250
15000US010499604003,971
15000US010499604004,947
15000US010499604005,863
15000US010499605001,1516
15000US010499605002,772
15000US010499605003,1000
15000US010499605004,2177
15000US010499606001,1466
15000US010499606002,1464
15000US010499606003,1827
15000US010499606004,1129
15000US010499607001,2758
15000US010499607002,3524
15000US010499607003,1315
15000US010499607004,1470
15000US010499608001,989
