hexid	cum_infections	population	geometry	cum_infectionsPC	logpopulation	cum_incidence	log_incidence
4631	7588.210274545705	10966.373472	list(c(340328.905121442, 326728.786383486, 327391.218464777, 341547.363055381, 355092.77180616, 354536.732696438, 340328.905121442, 5128357.51971091, 5140339.79225083, 5163544.09695972, 5174766.41408529, 5162815.53667007, 5139610.95916127, 5128357.51971091))	0.6919525669922129	4.040063032179125	0.8522088311561742	0.2676899505456073
4632	2354.104808859783	5447.9647401	list(c(342159.774161886, 328722.996585159, 329392.3251976, 343390.920603354, 356772.487171461, 356210.656351604, 342159.774161886, 5197971.97130709, 5209954.86570421, 5233161.32916941, 5244385.30435007, 5232433.81954776, 5209226.96716525, 5197971.97130709))	0.4321072035456258	3.736234288106352	0.694607394093107	0.22906909703535686
4633	4366.720191708172	6104.5868777	list(c(344009.639829076, 330737.817718939, 331413.964008476, 345253.329796004, 358469.44555538, 357901.88916244, 344009.639829076, 5267593.07946523, 5279576.41257251, 5302785.03171029, 5314010.84482269, 5302058.92076449, 5278849.79677034, 5267593.07946523))	0.7153178878753877	3.785656278795883	0.8645890994365584	0.2705831409658125
4634	2.871156636202732	4.05788369	list(c(345878.284251248, 332773.012357742, 333455.896607225, 347134.3711711, 360183.447091206, 359610.231989254, 345878.284251248, 5337220.83412291, 5349204.42257109, 5372415.19326452, 5383643.0233164, 5371690.82835642, 5348479.43710139, 5337220.83412291))	0.7075502541579086	0.6082995948128767	0.8604991004631366	0.26962946437959506
4635	455.63438248497954	529.66272331	list(c(347765.487174714, 334828.340493451, 335517.882130925, 349033.822899681, 361914.289744944, 361335.483518167, 347765.487174714, 5406855.22203187, 5418838.88231697, 5442051.79941728, 5453281.82446147, 5441329.52709639, 5418115.87401848, 5406855.22203187))	0.8602349427907666	2.7239994091628295	0.9367087098603969	0.28706430568900604
4636	44385.62189503747	129654.29958	list(c(315800.87993284, 298393.874906463, 298803.491748254, 316548.538981477, 333916.970010852, 333578.913186815, 315800.87993284, 3216218.38514546, 3228087.36606685, 3251233.57741665, 3262508.15125324, 3250664.58728943, 3227520.91207755, 3216218.38514546))	0.3423382181602887	5.112786923364582	0.627793107074957	0.21159920511977684
4637	12743.260574626187	156276.7305	list(c(316926.025911799, 299630.736995041, 300048.354799817, 317688.290421676, 334944.358349588, 334599.696958652, 316926.025911799, 3285654.00444457, 3297527.89431818, 3320676.00545119, 3331947.66540296, 3320099.58854458, 3296953.92259955, 3285654.00444457))	0.08154291770665234	5.1938943166769995	0.3366828960084715	0.12602839092107004
4638	6124.774894059324	26267.822951	list(c(318073.058239382, 300891.554006648, 301317.124596737, 318849.840354388, 335991.481181414, 335640.254914776, 318073.058239382, 3355095.47878793, 3366974.14678498, 3390124.18236653, 3401393.08515633, 3389540.61388639, 3366392.93136969, 3355095.47878793))	0.23316644494994807	4.419424080416575	0.5313502084505193	0.18507452198820934
4639	4199.379412919475	17172.609733	list(c(319241.844696963, 302176.180456499, 302609.654703336, 320033.054825118, 337058.217862083, 336700.467195918, 319241.844696963, 3424542.88355072, 3436426.19655765, 3459578.18034482, 3470844.48402611, 3458987.73892912, 3435838.01495426, 3424542.88355072))	0.24453938441573472	4.23483630019968	0.5424544363513895	0.18821234396399533
464	194.151113860837	488.91750609	list(c(-1499007.13187393, -1507680.86433734, -1498839.40967665, -1481453.81060511, -1472855.48954412, -1481567.51287499, -1499007.13187393, 5738444.64873575, 5754864.65390674, 5777571.80185663, 5783876.90250148, 5767516.48988538, 5744791.51869626, 5738444.64873575))	0.3971040337939907	2.6892355878103134	0.6695859776975157	0.2226087885764647
