hexid	date	distToFront	geometry
3543	2020-09-25	0	c(-133761.488073438, -135634.610515677, 4345564.49201124, 4322350.31626811)
3577	2020-09-25	0	c(-117165.243673525, -133761.488073438, 4355918.23284601, 4345564.49201124)
3577	2020-09-25	0	c(-129990.075937585, -115326.777598032, 4391991.25778133, 4379129.80928755)
3585	2020-09-25	0	c(-70842.70510985, -86347.1352648903, 4912867.64559184, 4902545.06287759)
3652	2020-09-25	0	c(-74874.2292016803, -59324.0233919469, 4866465.47262191, 4876821.00862757)
3653	2020-09-25	18626.407821290224	c(-57359.8781979957, -70842.70510985, 4900021.81231792, 4912867.64559184)
3687	2020-09-25	18682.773527760924	c(-59324.0233919469, -57359.8781979957, 4876821.00862757, 4900021.81231792)
3577	2020-09-25	0	c(-115326.777598032, -117165.243673525, 4379129.80928755, 4355918.23284601)
3617	2020-09-25	0	c(-65171.904604091, -80864.3681660022, 4807216.18562595, 4796858.70181479)
3686	2020-09-25	0	c(-51416.0151240254, -65171.904604091, 4794403.62045765, 4807216.18562595)
3721	2020-09-25	0	c(-53295.8955669126, -51416.0151240254, 4771201.57694951, 4794403.62045765)
3721	2020-09-25	0	c(-39433.4724622502, -53295.8955669126, 4758422.11362641, 4771201.57694951)
3756	2020-09-25	0	c(-41251.9532306159, -39433.4724622502, 4735220.21518383, 4758422.11362641)
3756	2020-09-25	0	c(-27283.8280025267, -41251.9532306159, 4722474.01599762, 4735220.21518383)
3756	2020-09-25	0	c(-11553.2276565711, -27283.8280025267, 4732961.38908457, 4722474.01599762)
3829	2020-09-25	0	c(2464.2090702178, -11553.2276565711, 4720280.12235024, 4732961.38908457)
3829	2020-09-25	0	c(18143.8517352951, 2464.2090702178, 4730831.06299893, 4720280.12235024)
3829	2020-09-25	0	c(19761.1679518509, 18143.8517352951, 4754030.50642639, 4730831.06299893)
3866	2020-09-25	0	c(35344.7984592536, 19761.1679518509, 4764612.3340118, 4754030.50642639)
3940	2020-09-25	0	c(49356.3249539243, 35344.7984592536, 4752027.3531765, 4764612.3340118)
3875	2020-09-25	17676.850250284013	c(81738.680524271, 80003.7927187391, 5414186.39592436, 5390987.12835754)
3911	2020-09-25	17736.859407675867	c(80003.7927187391, 92510.2904443399, 5390987.12835754, 5378406.68413293)
3912	2020-09-25	0	c(95869.2135361821, 81738.680524271, 5424807.08665379, 5414186.39592436)
3985	2020-09-25	0	c(92510.2904443399, 106692.71401462, 5378406.68413293, 5389058.21187879)
3940	2020-09-25	0	c(64888.9842491106, 49356.3249539243, 4762672.78509749, 4752027.3531765)
3909	2020-09-25	17984.817930555884	c(82564.2311138442, 80925.847501297, 5239207.08279889, 5216007.38329905)
3946	2020-09-25	18043.953177127856	c(80925.847501297, 93890.276178132, 5216007.38329905, 5203453.61684927)
3947	2020-09-25	0	c(97058.9035801986, 82564.2311138442, 5249854.0610598, 5239207.08279889)
